Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-04-09,What Lies Below,2020,https://boxd.it/1MtLSH,2.5,,I can't say I liked it. But I really appreciate it when people try toale.something original and this was weird and uncomfortable and creepy in at least two ways.,,2021-04-08
2021-04-12,I Care a Lot,2020,https://boxd.it/1MQgIR,4.5,,Terrifying funny and really well paced. I take a half star only for a little bit of implausible writing and a New Jack City ending.,,2021-04-11
2021-04-13,Legally Blonde,2001,https://boxd.it/1N7vQP,5,,It's frigging heartwarming.,,2021-04-12
2021-04-18,1BR,2019,https://boxd.it/1NO9Y9,3.5,,"Thriller with some paranoia inducing scenes for all of us that have rented an apartment in a new city. Don't ever let people know you ain't got people in the town. Evidently that's code for ""I would.like to be victimized in some fashion.",,2021-04-18
2021-04-20,Thunder Force,2021,https://boxd.it/1O6Ltz,2,,This was pretty dumb. Everything involving Jason Bateman was magic. But it was still pretty dumb.,,2021-04-19
2021-05-12,Ready Player One,2018,https://boxd.it/1R9BQV,2,,"I thought the book was kind of like a buzzword rip off of my childhood and that was kind of sad. Somehow this movie both captured the rip off of my childhood and was a pretty mediocre crap movie.

Super shiny though so I give it more than one star.",,2021-05-11
2021-05-12,Dead Silence,2007,https://boxd.it/1Rab0r,1.5,,I thought it was pretty dumb I'm sorry,,2021-05-12
2021-05-13,Superman,1978,https://boxd.it/1RhkiD,3,Yes,"I've never really cared for the Superman story, so this is hard to judge. I think it's well made and I appreciate the practical effects. Also Cliff clavin is responsible for nuclear weapons.",,2021-05-12
2021-05-19,Psycho,1960,https://boxd.it/1S1LeF,5,,"This movie scared the crap out of me when I was a little kid. Why I got to watch this as a little kid who knows. But that scene where the lady comes out of a side room and it's an overhead shot of the guy going up the stairs. Man.

Watched it now, still find it to be a great film. I do find the smoldering looks between the sister and the boyfriend to be a little odd. ",,
2021-05-19,Nightmare Weekend,1986,https://boxd.it/1S58JH,1,,"What the hell was that.

Also, what is up with the damned puppet playing with an oven?

TW: Sexual Assault and I don't say that lightly.",,
2021-05-25,The 10th Victim,1965,https://boxd.it/1STEJf,3,,"This had a lot of just odd future tripping going on in it. Sure, you could sign up to participate in some kind of crazy blood sport that just everyone else tolerated or something. But there was also some bizarre sun worshipping cult, this very strange obsession with marriage or how it's impossible to get out of, hiding your parents or else the government will take them away, and more and more I can't even enumerate it all. Just like how robocop had a dozen different little commercials or peeks into what life was like in the near future, this was the same. Evidently, people in the near future think it's a good idea to sign up to be a hunter and prey without being a very good shot. This seems like a very bad idea.

The story itself is good enough to spruce up and reshoot. I thought the acting and everything going on was pretty good. Special effects were really not present. There's a bit of an old fashioned thread running through where two people that seem to fight a lot eventual tumble into bed and then get married at gunpoint. Other than that, it was a fun sci-fi story.",,
2021-05-25,1408,2007,https://boxd.it/1STRjf,3.5,,"I think this is a pretty awesome movie. Gave me shivers and reminds me why I like horror movies. It did go on a bit too long with the toying with the dude's emotions, but still. Pretty good.",,
2021-05-27,5 Card Stud,1968,https://boxd.it/1T6Lad,2.5,,"It's a murder mystery in a western. Bizarre love story thing going on at a ""parlor"" two-timing on the nice farmers daughter thing he got going on.

Cut out the romancing of the madame and it might have been a bit better.",,
2021-05-27,After School Massacre,2014,https://boxd.it/1T6Rol,1,,Holy hell that is bad writing. I am positive I've seen porn with better. I gave it and extra half a star because someone got killed with a mailbox and I got to watch. ,,
2021-05-28,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/1TagL1,5,,"Before seeing this I hadn't ever found a comic book movie that I thought was worth watching. The stories and comics are very cheesy necessarily so because of their subject matter.

I'm saying all that because this movie is 100% great. It has a story that I found really fun and engaging, the animation is just beautiful, and I love the characters in it. So well done!",,2021-05-27
2021-05-28,The Adventures of Ford Fairlane,1990,https://boxd.it/1Tchst,1.5,,Watching this I felt like I was being included in someone's fetish fantasy without permission. How can one man be so man? This is like listening to a drunk narcissist telling you how everyone wants to be them or bang them.,,
2021-05-31,And Then There Were None,1945,https://boxd.it/1TAHUh,2.5,,"This is an ok adaptation of the book, acted well enough. There were some changes of who the characters were and what they did. The characters of the Doctor and the Butler were pretty strong characters, dramatic. What I would consider the main characters came across as rather bland, especially Lombard.

I don't think I cared for the change from the book, and unfortunately the film quality when I watched it made it tough to get through. Still, it's a good story told well, so I'm cool with saying 'meh'. ",,
2021-05-31,The Incredibles,2004,https://boxd.it/1TB0ZZ,3.5,,"It's action hero enough that my 3 year old requested it after watching it once, but it has some fun ""going through mid-life crisis without banging the babysitter' for the parents in the audience. So that's pretty cool.

I for no good reason really like the Attack of Jack-Jack short that ties into the film.",,
2021-05-31,Chopping Mall,1986,https://boxd.it/1THbJb,2,,"Oh this was pretty much nonsense. I don't remember when malls sold AR-15s but I guess that was a thing. I also was pretty tripped out when a plot plate was a cigarette machine and I had forgotten all about those. There really wasn't much chopping at all as noted in a few other reviews. 

I think it's movies like this that have delayed robots among us.",,2021-05-30
2021-06-01,Alone in the Dark,1982,https://boxd.it/1TMXyZ,3,,"This one is a bit slow and feels unfocused to me a bit. However, I think the actors portraying the crazed inmates really were quite disturbingly portrayed. Also, I love that there's a major power outage to add to the ambiance of the movie. If you're looking for a reason or motive for the killers, I couldn't find one. There seems to be a bit of commentary on society with this movie where we ask the question, who's really crazy after all? Are these escaped inmates really much worse than some of the rest of society, especially when the power is off?

Props for the scene where the inmate's under the bed, it was well done and I like how it's not tied up nice and neat at the end.",,
2021-06-02,American Gothic,1987,https://boxd.it/1TVMHf,3,,"This one is a slow burning affair. It's trying to go for a creepy atmospheric vibe. Kind of like children of the corn, but instead of killer kids it's killer adults acting like kids. With some super religion thrown in.

The overall premise, kids stumble into some isolated community of crazy people is not very original but the details are definitely different. The ending I thought was going for a Chainsaw Massacre type thing but it went a different way for sure.",,
2021-06-02,It Happened at Lakewood Manor,1977,https://boxd.it/1TWqnJ,1,,"I should probably give it only half a star, it was super dull and they're ants. You should just burn 'em with fire and lay out some bait. Maybe don't go into the hole that other people died in. Or maybe don't stand in a pile of ants like it don't mean shit. 

I haven't seen silliness like this since 'The Day After Tomorrow' when I watched people run away from cold.",,
2021-06-06,Dune,1984,https://boxd.it/1Uvh23,3,,"My dad was a big fan of the books and took me to see this movie when I was maybe 12, so I think even watching it now I have a bit of nostalgia that is bringing up the rating. This is a weird take on the story, it adds a few oddities that I'm not sure improve the story. I especially watching as an adult don't care for how Jessica is kind of sidelined compared to how strong and capable she's in the book.

The effects look a little hokey and the director seems really fascinated with flowing sand. I think it's the most coherent David Lynch film I've watched yet.",,2021-06-05
2021-06-09,1984,1956,https://boxd.it/1UTqat,3,,"This is a pretty straight forward adaptation of the book, but I felt like the romance between Winston and Julia was played up probably as was customary for the times.

The main villain is quite good, acted very well and damned wicked. I would never have fessed up to having a side piece on Big Brother to that dude. Winston was nuts.",,
2021-06-10,Angels with Dirty Faces,1938,https://boxd.it/1V0su5,4,,"James Cagney really looks strange to me, like he's got extra bumps sticking out where I'm not used to seeing them in a face. 

The movie had a decent plot, it was well acted and other than the romantic storyline kind of being just a loose end I thought it was a fairly tight bit of storytelling. Well, except for the boy's basketball game with one team not knowing the rules at all. That was just for funsies I guess.

I had great sympathy for the main character until he decided that he wanted to return to a gangster life. It seemed like he was like the guy from 'Payback' who just wanted what was owed him and everyone kept trying to kill him or cheat him and he just wants what is owed. But then he decides to leverage his information instead of just disappearing and starting over and while it's quite human and believable it was dumb.

Anyways, surprisingly good film with people doing things you'd expect real people to do made 80 some years ago. That was quite a treat.",,
2021-06-15,Ready or Not,2019,https://boxd.it/1VEhG5,5,,"I won't spoil anything. If you want a black comedy/horror adjacent type of film with a story that's pretty original watch this.

If you don't like constant f-bombs avoid.",,
2021-06-17,April Fool's Day,2008,https://boxd.it/1VRG5p,1.5,,Super bland and to me it's way too slick to be anything but a made for TV movie. Like cut it down a little bit and you've got a CSI episode or matlock or something.,,
2021-06-18,Demon Dolls,1993,https://boxd.it/1VXFr7,0.5,,"I really tried to find something redeeming about this but the acting was pretty wooden and stilted, it sounds and looks like it was filmed with a VHS camera, the story was kind of boring. I guess the sound and music did a good job of matching what was going on. That's something positive. It wasn't like it was mariachi music when the demon doll showed up.",,
2021-06-19,The Backlot Murders,2002,https://boxd.it/1W6bKh,3,,"Dude the director character in this is off the hook awesome. It's just a cheesy slasher, but if you can tolerate that as a backdrop seriously watch this dude - he steals the show.",,
2021-06-21,Black Sunday,1960,https://boxd.it/1WkGG9,1.5,,"A moody film that's kind of a period piece in a way. The opening is pretty metal, I'll give it that. But it went downhill for me after that. I think The Mummy from the 90s had a similar plot line in a way. Foolish people unlock unspeakable evil which wants revenge.",,
2021-06-21,The Ten Commandments,1923,https://boxd.it/1Wmi3h,1,,"It's just not my bag. It's silent, it's super religious, and the back half of this longer than star wars movie is just a look into ""modern"" life and application of christian belief. I bump it up half a star because it looks like huge set pieces and I can respect that. But you know those little movie clips you saw in Columbia when playing Bioshock Infinite, imagine watching those for two hours. Praise be.",,
2021-06-21,I Wake Up Screaming,1941,https://boxd.it/1WqpTn,3,,"A detective movie, I see from other reviews the ""noir"" word gets thrown around a lot. 3 guys find a lady in a diner and decide to pull a trading places routine on her without the someone falling from grace part. When she makes it, she is set to leave for hollywood and gets killed before she goes. 1 of the 3 guys is getting pegged for the murder, but he claims innocence and falls in love with the victim's sister who I guess he really didn't think about until after her sister died.

There's some pretty pushy hulk of a cop that really wants the dude to fry for it. He plays that part well. I think the lead man is lacking a bit compared to some of the other leading stars I've seen in this era but he's alright. 

I give it a slightly better than 'meh'. I don't like it when detective movies pull the real killer out of nowhere, so I dock some points for that.",,
2021-06-22,One on Top of the Other,1969,https://boxd.it/1WtlLb,3,,"This is sleezy as hell, and super 60s as well. The ""protagonist"" is also sleezy and kind of meanders his way through some pretty insensitive jackassery only to have a murder rap pinned on him and sent to be executed faster than I've ever heard of it happening in California.

In the beginning I thought the movie was just a boobtastic 60s oddity but I stuck through it and was amused by the twist and thought it was just fine as a movie overall. ",,
2021-06-26,There's Nothing Out There,1991,https://boxd.it/1X1Fof,3,,"""But what if it's a bear?""

This is some truly silly nonsense. I was amused, I'll give it that.",,
2021-06-26,Cars,2006,https://boxd.it/1X1X4d,2.5,,"My kids are obsessed with this movie, so I've seen it maybe 50 times. Mater is a cockblocker. I must not have a heart because I would have won the stupid race.",,2021-06-26
2021-06-27,Jurassic World: Fallen Kingdom,2018,https://boxd.it/1Xa6xz,2,,How many times are they going to make the same movie?,,2021-06-26
2021-06-28,Sorority House Massacre,1986,https://boxd.it/1XeYRL,1.5,,"This is different than most slashers that I've seen in that there seems to be a psychic connection between this crazy guy in an asylum and the last girl in the film. I think it's because the killer killed his family in the sorority house before it was a sorority house? Also, there's a 5 minutes dress up scene where we get most of the obligatory toplessness out of the way. I give it more than a star since they tried something different. I thought it was dumb, but it was something different.",,
2021-07-01,I Saw the Devil,2010,https://boxd.it/1XBpfj,5,,"This was an intense movie. I was really surprised at just how visually stunning some of the scenes were. The acting was top notch. I can't think of a more viscerally threatening character as the antagonist in the movie.

This is a story of revenge and what it does to someone to be consumed by vengeance. Wrath is one of the deadly sins, isn't it?  ",,
2021-07-01,Bordello of Blood,1996,https://boxd.it/1XCdlr,1.5,,"I don't think the acting would be bad for a Tales from the Crypt episode, a little cheesy but overall it doesn't even succeed at being titillating. It's mildly gross at times and surprisingly unsexy.

It's overly juvenile and just plain painful to watch. I'm very sad Prince Humperdink sunk to this level.",deleted,
2021-07-01,Tales from the Crypt: Demon Knight,1995,https://boxd.it/1XDdXd,2.5,,"This was significantly better than the follow up Bordello of Blood. Still, I thought it was a bit weak for a full length movie, although the acting in it wasn't bad and the story was fine. Still, just meh.",,
2021-07-01,Leprechaun,1993,https://boxd.it/1XDTSJ,1,,This is not a good movie. How the hell did O'Grady get the gold in the first place from this dude? This dude is murderous and seems to have fairly unlimited powers. How did a drunk old man catch this wolverine like thing with thumbs?,,
2021-07-01,Lake Consequence,1993,https://boxd.it/1XGEwp,3,,"There's probably too much naked women time and not enough hot Billy Zane time to make this movie be an equal opportunity movie, but I feel like it's closer than most I've erotic ""MILF discovers how milfy she really is"".

For what it's trying for, I give it full marks. I wish I could be as smoking cool as Zane is in this movie. But I don't really care for this kind of movie so I only go as high as 3 stars.",,
2021-07-11,The Hunger Games,2012,https://boxd.it/1Z4V1F,4,,"It's a good thing I'm not a dictator, because stealing children and putting them in an arena to fight for my amusement to the death does not seem like a great way to keep people in line. 

This movie is the best in the series. The hero had clear motives and shows grit and heart. Rue made me teary eyed. It's a little unclear what can be offered by patrons in the games but it seems pretty unfair.

Anyways, good flick, should have left it at one in my opinion.",,2021-07-10
2021-07-14,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/1ZxGuZ,3,,"I feel like the book made it less clear who Katniss was acting as a tool for in the end, Snow or PanEm and I liked the ambiguity. Maybe I just missed something. Finick got done dirty in this film.",,2021-07-13
2021-07-27,Heat,1995,https://boxd.it/21zp2V,5,,"An epic film, it has so much packed into it and the actors are top notch amazing. If you can't watch this with surround sound, you are missing out. I'm shocked they didn't get an award for the sound, that gun battle in DT LA is just ripping through you.",,
2021-07-29,I Like to Play Games,1995,https://boxd.it/21OcPF,1.5,,"That's a lot of skin, and super 90s skin at that.

But is there a story here? No. The answer is no.",,2021-07-28
2021-07-31,Jungle Cruise,2021,https://boxd.it/227wQ7,2,,"This wasn't great. It was pretty hard to follow what was going on and when I did follow, I didn't like it. The woman in pants is the best character in the movie.",,2021-07-30
2021-08-03,The Vault,2021,https://boxd.it/22v7q7,2.5,,"I appreciate a clever heist movie. This one I couldn't for the life of me understand the way the problem they had to solve would work. How does it not kill people when you bring new things into the vault? How does it not go off when you go in to the vault and take things out appropriately? So many questions around the basic premise of this that I didn't give a crap when they overcame the obstacle I couldn't understand.

I thought it was super fun and interesting to tie it into the spanish advancing and winning the cup. That's a cute story. But the main plot of the film was pretty basic and also unapproachable by me. ",,2021-08-01
2021-08-03,Fear Street: 1994,2021,https://boxd.it/22vaNj,3.5,,"There's a lot I liked about this one. The baddies were pretty good, there was tension because just when I thought everyone was basically blessed and no lasting harm would come to anyone I got schooled. I am intrigued to watch the next one so mission accomplished movie.",,
2021-08-04,Fear Street: 1666,2021,https://boxd.it/22JwHZ,3,,"They got marginally better as they went along. There was some real evil in this one, that's for sure.
",,
2021-08-05,Daughters of Satan,1972,https://boxd.it/22OzsX,2,,It was sooooo slow. It started out pretty wacky and I thought this might be some crazy shit but then it was mostly just Tom Selleck being menaced by a dog and confused by a really bad painting.,,
2021-08-06,Werewolf of London,1935,https://boxd.it/22WpwL,2,,This one suffers because the recording I have is pretty poor quality (often looking at a very dark screen) and it's so tame and slow moving by today's standards. I do not recommend wasting the time on it. The acting is fine and the dialogue is ok too but go watch something else. Not enough tension throughout.,,
2021-08-07,Party Girl,1958,https://boxd.it/235AV1,3,,"The leads both seemed to be terribly pained to be around each other and this kind of put me off the premise that they were so in love the guy was giving up everything and putting himself in danger for her.

This plot seems familiar, kind of Pretty Woman-esque maybe, but I've not seen the details quite. Lawyer for big time mobsters meets a dancer and they begrudgingly fall for each other. When the lawyer tries to withdraw from a life of crime so they can run off and live a life of un-crime it causes the head mobster to freak out that the lawyer is going to flip on him. Shenanigans ensue.

There were several full on dance numbers in the middle of the movie, is that just something they did back then?",,
2021-08-07,Pretty Baby,1978,https://boxd.it/236MzD,0.5,,wtf this is not right.,,
2021-08-09,Alien,1979,https://boxd.it/23uebP,5,,"Ive seen the movie a dozen times, I've played games based on this movie both video and board. This movie was iconic in so many ways. There was a ton of thought put into the gritty details of everything, working conditions, secret androids, killer aliens and evil corporate interests sacrificing lives for profit.

It's a well built world that you get to experience, and it's horrific on so many levels.",,2021-08-08
2021-08-09,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/23uhxf,3.5,,"It's a pretty good adaptation of the book, but Dumbledore is in the tank for Harry from the start. I can see why Snape hates the dude.",,2021-08-08
2021-08-09,Aftermath,2021,https://boxd.it/23uYOj,3,,"That was alright, if you want to see a half star movie try Mardi gras massacre. Y'all have no sense of scale.",,2021-08-08
2021-08-10,Mardi Gras Massacre,1978,https://boxd.it/23A9Xh,0.5,,"Badly produced, the soundtrack gets reused in some really strange places, lots of static medium range shots of people talking. I could swear dude was wearing a blanket when he killed those first couple of women. He's got some crazy sex furniture.

For some reason the cop investigating the killer is sleeping with a pro but really bummed about it for some reason? IDK, the whole thing was fairly terrible.",,
2021-08-13,The Curse of the Living Corpse,1964,https://boxd.it/242vWh,2,,I was really rooting for the killer. Almost all of them were terrible people. They also didn't hav much of a will to live.,,2021-08-12
2021-08-22,Madman,1981,https://boxd.it/25fdiX,2,,This was a super straightforward slasher. A yeti was running around killing folks. It only got above one star because I thought some of the people were fairly creepy and weird and I guess that's character.,,2021-08-21
2021-08-22,Maniac Cop,1988,https://boxd.it/25fe2B,2.5,,This is why it is a serious crime to impersonate a police officer I guess.,,2021-08-21
2021-08-24,Mystery of the Wax Museum,1933,https://boxd.it/25Esaf,2.5,,"This was a bizarre film in a way. I've seen several of the wax museum type films but this is by far the earliest one so maybe it's first? Notable is a motivation for the main baddie to be doing what he's doing instead of ""he's just a crazy person"" so I liked that. I liked that it had a female protagonist, evidently a lady who liked to party and didn't want to bother showing up for work. Also there's this bit in the middle where she's scared of and runs from a frog. For some reason that cracked me up.

Anyways, it's old, a bit slow and has a proposal at the end that comes out of nowhere. I give it props for being the OG evil wax museum flick. But it's still getting dropped from my collection. ",,
2021-08-26,The Invisible Man,1933,https://boxd.it/25PT8d,3,,"The villain went from being a pretty cantankerous asshole to a murderous crazy person really quick. People a hundred years ago didn't seem to have a ton of sense, I mean I know he's invisible but dude. You can see he's got that cop by the feet, maybe go to the feet and wave your arms around?

Anyways, this guy you can't see runs around and just murders folks with his bare hands. Fairly gruesome if you think about it. I liked the 2020 version better. ",,
2021-08-30,All That Money Can Buy,1941,https://boxd.it/26pqyt,2,,"Deals with the devil and then reneging on it. 

Features:
    the fun phrase ""That's mighty white of you"" unironically.
    Some dude spanks a random kid and no one seems to think much about it.
    The wife is super long suffering about a hottie nanny making her kid a tool and probably banging her husband.
",,
2021-08-30,Evils of the Night,1985,https://boxd.it/26v3BV,2,,"Notes while I watched it:

Credits aren't over and I'm seeing a dude having sex with a lady with his pants on and then he get's choked to death and she doesn't stop thrusting until I guess he goes limp in her or what?

I think the aliens are wearing like gray star trek outfits with some crazy collars. They seem to be into stealing blood. Also, they seem to be into each other quite a lot. Everyone seems really horny.

Dude got LAZERED! He really acted that well. 

I've been to the lake as a teenager with my friends. We evidently missed out on sexually assaulting each other so much.

There are two older mechanics that are overpowering and killing people for the aliens, for a handful of quarters. The aliens said it was gold but it was clearly quarters. What the hell was that.

Holy hell, they killed the final girl in the last five minutes of the movie. That was unexpected.

The aliens flew away and murdered their stooges on the way out, what. Just what is going on here.

Oh wow, I guess it's over.",,
2021-09-11,Plan 9 from Outer Space,1957,https://boxd.it/284F1F,1.5,,There are vampire looking people running around with some UFOs flown by just people in silly clothes. This is some nonsense.,,
2021-09-16,Disturbing Behavior,1998,https://boxd.it/28O5yb,1.5,,"meh. oh wait, no, still meh.

You know what was a pretty sweet piece of film though in this fairly blah offering? When all the blue ribbons jump on that dudes truck and they go flying off the cliff. It was nice.

This seemed to be tapping into some kind of in kids ruling the school fear that maybe ""normal"" teens would be interested in. This is pre-Columbine by 1 year, so maybe they were on to something.",,
2021-09-16,Modern Vampires,1998,https://boxd.it/28OsfB,2,,"Holy shit this was really terrible until Van Helsing got an employee. Like probably the best acting in the whole movie, and I laughed my ass off.",,
2021-09-16,Devil in the Flesh,1998,https://boxd.it/28R4YN,1.5,,This is a bit painful to watch. This girl is hot for teacher and has a lovely and caring Grandma that can't stop her.,,
2021-09-20,I Know What You Did Last Summer,1997,https://boxd.it/29iW5B,3,,"The motivation of the killer seems pretty odd and it's quite unlucky that the hottest of hot late nineties peeps ran him over. Cause he's pretty mean about it. Also, the chase scenes and the ending have really nice build up and scares.

What sets it up in a nice way is the kids with their whole lives ahead of them and how this secret they are keeping twists them or would the small fishing town have pulled them back into orbit anyways? Like the slashing part feels a bit added on, it could have been a slow burn with a psychological profile of what a small town does to you with or without a terrible secret.",,
2021-09-20,Top Girl,1996,https://boxd.it/29nYzN,0.5,,"This is really awful. The other review that says that it's crappy and not even the nudity makes it worth it is spot on. It's like a sexual harassment training video, with nudity. So I guess it's extra harass-y.",,
2021-09-23,Leprechaun 2,1994,https://boxd.it/29LrDl,1,,This is really dumb. Cheesy and boring.,,2021-09-22
2021-09-25,A Fistful of Dollars,1964,https://boxd.it/29YxJZ,2.5,,"So I finally got around to watching this one. The craft shown in filming, especially how faces and eyes got a ton of attention pops out and increases the drama. I got no beef with the set, a bit of complaints around special effects particularly blood effects and it seems well acted. No one stood out as being crappy and I liked bits here or there.

The story makes this one just be an ok film. No one's motives were really clear and nothing people did made sense. Especially the hero, while being a gritty heroic type, why? What was the point of this dude murdering tons of folks? Why did the two feuding clans really need the push to kill each other?

When it was all done, I said to myself ""Those are certainly things people could do and how others might react."" But cui bono?",,
2021-10-02,The Addams Family 2,2021,https://boxd.it/2aWU17,1.5,,Fart jokes and some family angst that doesn't really fit the Addams family to me. Boring and kind of bad.,,2021-10-01
2021-10-07,Ghostbusters,1984,https://boxd.it/2bI1th,3.5,,"Murray comes off more slimy than I remember thinking of him 20 years ago when I last saw the movie. The deadpan delivery from Rami really makes me like the movie. Overall it's pretty good and I will always get a laugh off the exchange in the mayors office:

Ghostbuster: ""Everything was fine until dickless here turned off the containment field""
EPA guy: ""These men caused a massive explosion!""
Mayor: ""Is this true?""
Other Ghostbuster: ""Yes it's true, this man has no dick.""

I guess the 12 year old in you never really grows up.",,
2021-10-07,A Nightmare on Elm Street,1984,https://boxd.it/2bI2Ut,4.5,,"This is still pretty great. The first time Nancy goes to sleep, the whole sequence in the school is top notch creepy to me. This is before Freddy is just dropping one liners left and right, and they get some really good ""What are dreams anyways?"" lines going. Looking from the end of the series where England is just running around calling everyone bitch (or so family guy would have you believe) it's hard to see it from the first one.

Quite good, the remakes don't come across as creepy to me. Maybe it's just that flop of the arm in the body bag that gets this one all the stars. I can't tell.",,
2021-10-11,The Night Evelyn Came Out of the Grave,1971,https://boxd.it/2cmuol,2.5,,"The story is a bit convoluted, so I won't try to say too much. Some lord who lost his wife has a penchant for finding redheads and murdering them in a torture chamber place. He finds true love somehow and then things get a different kind of crazy. I guess he walled up the torture chamber and just stopped it.

In the middle of the movie (after the wedding) things change gear and then it's a mystery as a red headed women and some dude with (so far) a snake is out messing about.

There's no one here to really cheer for except the new wife, imo. This movie doesn't end well if that's who you are cheering for sadly. 

I give it higher marks than I should simply because this story seems pretty wild and it's not yet another rehash of something to have an excuse to show naked women. I mean, there's definitely more nudity than is needed even given the hiring of women to come spend the weekend with him and then they get murdered strapped to a bench or something. But it's trying to do more than just that I think.",,
2021-10-26,Cheerleader Massacre,2003,https://boxd.it/2eHwNn,1.5,,"I've been watching some real trash lately, but I think I'm in a forgiving mood or something with my rating. This isn't crazy stupid like some of the other low budget junk. I guess back in the day people couldn't just be cool for the summer.

As you might imagine, there's some toplessness in the movie. ",,
2021-11-05,Cheerleader Camp,1988,https://boxd.it/2giLFV,1.5,,"This is a bit boring and features some really bizarre combinations of people. Frankly, I was expecting a lot or more pandering with nudity and violence and while that was there it wasn't over the top with it. I think they were trying to make a psychological thriller of sorts, the main character has some issues they're dealing with.",,
2021-11-05,Ghosthouse,1988,https://boxd.it/2gjmYZ,1,,"It's got some creepy song that plays throughout that's pretty sweet, but other than that it's really not good.",,
